listing_id,neighbourhood,zipcode,price
8426874,East Village,10003,120
8435582,Harlem,10030,100
8438775,Upper West Side,10023,137
8439191,Williamsburg,11211,124
8439758,Alphabet City,10009,125
8444013,Crown Heights,11238,124
8444227,Soho,10012,95
8444619,Upper East Side,10028,85
8444730,Greenwich Village,10012,190
8458863,Upper East Side,10128,100
8458966,Upper East Side,10065,95
8460304,Midtown,10016,199
8462379,East New York,11208,60
8467862,Tribeca,10013,127
8468835,Bedford-Stuyvesant,11233,50
8470381,West Village,10011,150
8471063,Kips Bay,10010,65
8472045,Williamsburg,11211,111
8472812,East Harlem,10029,130
8473221,Upper West Side,10069,475
8473327,,10029,35
8473374,Murray Hill,10016,180
8473484,Corona,11368,70
8473532,Crown Heights,11238,65
8473623,Williamsburg,11206,75
8473811,Bedford-Stuyvesant,11233,200
8474806,Hamilton Heights,10031,68
8475392,Crown Heights,11233,45
8479799,Upper West Side,,135
8480087,Upper West Side,10023,165
8481074,East Village,10009,250
8485057,Sunset Park,11220,80
8485529,Upper East Side,10128,130
8485571,Upper East Side,10021,140
8486828,Bedford-Stuyvesant,11206,55
8486894,Williamsburg,11249,98
8499619,Hell's Kitchen,10019,250
8501038,Meatpacking District,,225
8501697,Elmhurst,11373,51
8501823,Bushwick,11237,62
8503064,Bushwick,11206,90
8504231,Upper West Side,10025,109
8504666,Bedford-Stuyvesant,11233,175
8505781,Jamaica,11434,55
8506167,Kensington,11218,70
